Проект,Youtube плеер,
Дата,20.11.2023,
Предусловия,Youtube плеер открыт,
Oкружение,"Windows, Opera, Google Chrome, Firefox, macOS, Safari",
Вид тестирования,Smoke,
Тестировщик,Бабуль Дарья,
Номер,Проверки,Статус
Воспроизведение видео,,
1,Видео воспроизводится.,
2,Видео останавливается.,
3,Перемока видео вперед с помощью мыши.,
4,Перемотка видео назад с помощью мыши.,
5,Перемока видео вперед с помощью клавиатуры на 5 сек.,
6,Перемока видео назад с помощью клавиатуры на 5 сек.,
Звук видео,,
7,Регулировка звука.,
8,Отключение звука.,
9,Включение звука.,
Качество и формат,,
10,Автонастройка качества воспроизведения.,
11,Регулировка качества воспроизведения.,
12,Полноэкранный режим воспроизведения видео.,
13,Выход из полноэкранного режима воспроизведения видео.,
Время видео,,
14,Корректно отображается полное время видео.,
15,Корректно отображается время с момента начала воспроизведения видео.,
